17804.995698047,12,rising
17804.995713454,12,rising
17804.995717769,12,falling
17804.995724510,12,falling
17804.995730565,12,falling
17804.995734825,12,falling
17804.995745343,12,falling
17804.995754899,12,falling
17804.995785269,12,falling
17804.997831917,12,falling
17804.999252823,12,falling
17804.999260898,12,falling
17804.999286249,12,falling
17804.999291860,12,falling
17804.999296601,12,falling
17804.999306083,12,falling
17804.999314101,12,rising
17804.999319694,12,falling
17804.999324805,12,rising
17804.999332842,12,falling
17804.999343194,12,falling
17804.999356990,12,falling
17804.999362157,12,falling
17804.999380286,12,falling
17804.999388231,12,falling
17804.999413212,12,falling
17804.999610934,25,falling
17804.999616694,25,falling
17804.999622953,25,falling
17804.999627360,25,falling
17804.999895527,25,falling
17804.999900842,12,falling
17804.999901212,25,falling
17804.999906045,12,falling
17804.999909786,25,falling
17804.999909379,12,falling
17804.999999268,12,falling
17805.000038323,12,falling
17805.000039045,25,falling
17805.000045675,12,falling
17805.000046027,25,falling
17805.000055119,12,falling
17805.000059656,25,falling
17805.000059286,12,falling
17805.000071490,12,falling
17805.000078360,12,falling
17805.000091379,12,falling
17805.000092064,25,falling
17805.000098342,12,falling
17805.000106823,25,falling
17805.000106138,12,falling
17805.000111434,12,falling
17805.000111786,25,falling
17805.000116471,12,falling
17805.000116860,25,rising
17805.000125879,12,falling
17805.000126582,25,falling
17805.000146323,12,falling
17805.000147119,25,falling
17805.000754786,25,rising
17805.000759823,25,falling
17805.000764490,25,falling
17805.000791008,12,falling
17805.000791749,25,falling
17805.000803249,25,falling
17805.000810212,25,falling
17805.000808915,12,falling
17805.000829230,25,rising
17805.000837471,25,falling
17805.000836175,12,falling
17805.000852601,12,falling
17805.000854138,25,falling
17805.000858804,12,falling
17805.000867730,12,rising
17805.000868897,25,falling
17805.000873786,12,falling
17805.000874989,25,falling
17805.000896045,12,falling
17805.000897212,25,falling
17805.000924101,12,falling
17805.000925249,25,falling
17805.000937027,12,falling
17805.000938175,25,falling
17805.000943638,12,falling
17805.000944786,25,falling
17805.000959601,12,falling
17805.000960749,25,falling
17805.000992693,12,falling
17805.000993841,25,falling
17805.000999026,12,falling
17805.001000212,25,falling
17805.001056582,12,falling
17805.001057786,25,falling
17805.001156026,12,falling
17805.001157434,25,falling
17805.002024545,12,falling
17805.002025378,25,falling
17805.002073174,12,falling
17805.002073952,25,falling
17805.002182711,25,falling
17805.002181637,12,falling
17805.002187785,12,falling
17805.002192100,25,falling
17805.002198470,25,falling
17805.002198100,12,falling
17805.002203119,12,falling
17805.002203452,25,falling
17805.002210582,12,falling
17805.002211322,25,falling
17805.002227545,25,falling
17805.002226785,12,falling
17805.002232174,12,falling
17805.002232526,25,falling
17805.002637230,12,falling
17805.002638081,25,falling
17805.002644618,12,falling
17805.002645063,25,falling
17805.002651859,25,rising
17805.002651507,12,rising
17805.002656415,12,falling
17805.002656748,25,falling
17805.002683267,25,falling
17805.002682507,12,falling
17805.002687859,12,falling
17805.002693859,25,falling
17805.002698767,25,falling
17805.002698415,12,falling
17805.002706415,25,falling
17805.002711026,12,falling
17805.002711396,25,falling
17805.002761359,12,falling
17805.002762137,25,rising
17805.002767767,12,falling
17805.002768137,25,falling
17805.002782285,12,falling
17805.002783044,25,falling
17805.003367748,12,rising
17805.003490563,25,falling
17805.003543359,25,falling
17805.005211858,25,falling
17805.005232062,25,rising
17805.005236766,25,rising
17805.005241414,25,falling
17805.005246080,25,rising
17805.005250692,25,falling
17805.005254655,25,rising
17805.005259377,25,falling
17805.005264506,25,rising
17805.005270006,25,falling
17805.005275914,25,falling
17805.005280599,25,falling
17805.005304988,25,falling
17805.005311432,25,falling
17805.005316117,25,falling
17805.005324636,25,rising
17805.005329303,25,falling
17805.005335784,25,falling
17805.005341043,25,falling
17805.005467562,25,falling
17805.005485488,25,falling
17805.005496895,25,falling
17805.006903895,25,falling
17805.007020783,25,falling
17805.007038654,25,falling
17805.007051580,25,falling
17805.007057154,25,falling
17805.007062524,25,falling
17805.007067154,25,falling
17805.007075524,25,rising
17805.007080135,25,falling
17805.007084820,25,rising
17805.007088820,25,falling
17805.007096209,25,falling
17805.007102654,25,falling
17805.007107302,25,falling
17805.007111895,25,falling
17805.007117487,25,falling
17805.007122117,25,falling
17805.007128043,25,falling
17805.007132709,25,falling
17805.007142283,25,falling
17805.007149061,25,falling
17805.007157524,25,falling
17805.007162154,25,falling
17805.007166709,25,falling
17805.007171506,25,falling
17805.007179950,25,falling
17805.007225506,25,rising
17805.007230154,25,falling
17805.007237265,25,rising
17805.015060818,12,falling
17805.016539558,12,falling
17805.019044538,25,falling
17805.019049816,25,falling
17805.019053816,25,falling
17805.019058501,25,falling
17805.019065927,25,falling
17805.019073631,25,falling
17805.019078853,25,falling
17805.020193167,12,falling
17805.020205871,12,falling
17805.020212353,12,falling
17805.020216612,12,falling
17805.020231982,12,rising
17805.020240093,12,falling
17805.020243130,12,falling
17805.020268445,12,falling
17805.020272593,12,rising
17805.020277445,12,falling
17805.020293445,12,falling
17805.020303556,12,falling
17805.020316056,12,falling
17805.020975852,25,rising
17805.020981260,25,falling
17805.020985186,25,falling
17805.021379704,12,falling
17805.021380593,25,falling
17805.021387223,12,rising
17805.021387630,25,falling
17805.021400204,25,falling
17805.021399852,12,falling
17805.021633908,12,falling
17805.021638148,12,falling
17805.021643000,12,falling
17805.021652889,12,falling
17805.021656889,12,falling
17805.021660741,12,falling
17805.021669148,12,falling
17805.022203019,12,falling
17805.022292167,12,falling
17805.022298944,12,falling
17805.022317074,12,falling
17805.022413500,12,falling
17805.022419370,12,falling
17805.022424537,12,falling
17805.022434426,12,falling
17805.022446907,12,falling
17805.022453741,12,falling
17805.022471889,12,falling
17805.022476500,12,falling
17805.022482537,12,falling
17805.022488296,12,falling
17805.022492963,12,falling
17805.022508055,12,falling
17805.022529204,12,falling
17805.023071352,12,falling
17805.023328166,12,falling
17805.023332870,12,falling
17805.023337537,12,falling
17805.023343055,12,falling
17805.023350666,12,falling
17805.023357777,12,falling
17805.023364648,12,falling
17805.023365703,25,falling
17805.023370611,12,falling
17805.023371685,25,falling
17805.023379148,12,falling
17805.023380222,25,falling
17805.023385074,12,falling
17805.023390388,12,falling
17805.023391500,25,falling
17805.023395629,12,falling
17805.023400259,12,rising
17805.023413000,12,rising
17805.023413333,25,falling
17805.023418018,12,rising
17805.023419074,25,rising
17805.023423000,12,rising
17805.023428055,12,falling
17805.023429129,25,falling
17805.023432833,12,falling
17805.023438000,12,rising
17805.023439185,25,rising
17805.023443425,12,falling
17805.023444518,25,falling
17805.023448518,12,rising
17805.023453370,12,falling
17805.023453870,25,rising
17805.023458574,12,falling
17805.023460074,25,falling
17805.023463963,12,rising
17805.023468944,12,rising
17805.023476481,12,falling
17805.023484574,12,falling
17805.023489722,12,falling
17805.023477777,25,falling
17805.023491407,25,falling
17805.023501611,12,rising
17805.023509740,12,falling
17805.023511092,25,falling
17805.023516740,12,falling
17805.023521407,12,falling
17805.023525259,12,falling
17805.023529944,12,falling
17805.023531037,25,falling
17805.023535888,12,falling
17805.023537037,25,falling
17805.023544222,12,falling
17805.023548888,12,falling
17805.023560740,12,rising
17805.023605611,25,rising
17805.023610629,25,falling
17805.023624703,25,falling
17805.023634685,25,falling
17805.023639314,25,falling
17805.023818148,25,falling
17805.023828425,25,falling
17805.023966870,25,falling
17805.023971610,25,falling
17805.023976277,25,falling
17805.023980944,25,falling
17805.023985573,25,rising
17805.023990481,25,falling
17805.023995129,25,falling
17805.024005907,25,falling
17805.024013444,25,falling
17805.024018073,25,rising
17805.024025259,25,rising
17805.024029925,25,rising
17805.024042666,25,falling
17805.024047351,25,rising
17805.024051925,25,falling
17805.024060999,25,falling
17805.024066981,25,falling
17805.024071592,25,falling
17805.024084166,25,falling
17805.024088796,25,rising
17805.024093370,25,falling
17805.024100259,25,falling
17805.024114666,25,falling
17805.024122999,25,rising
17805.024127666,25,falling
17805.024136870,25,falling
17805.024141518,25,rising
17805.024146092,25,falling
17805.024149999,25,falling
17805.024157684,25,falling
17805.024181851,25,rising
17805.024186518,25,falling
17805.024192351,25,falling
17805.024197055,25,falling
17805.024208036,25,falling
17805.024212703,25,falling
17805.024217777,25,falling
17805.024222536,25,falling
17805.024226833,25,falling
17805.024231518,25,rising
17805.024236092,25,falling
17805.024240684,25,falling
17805.024249777,25,falling
17805.024314721,25,falling
17805.024319388,25,rising
17805.024334129,25,falling
17805.024342425,25,falling
17805.024347499,25,falling
17805.024352147,25,rising
17805.024358536,25,rising
17805.024366610,25,falling
17805.024371388,25,falling
17805.024376795,25,rising
17805.024381481,25,rising
17805.024385499,25,falling
17805.024389777,25,falling
17805.024393740,25,falling
17805.024398425,25,falling
17805.024403036,25,rising
17805.024409333,25,falling
17805.024414666,25,rising
17805.024419370,25,rising
17805.024423962,25,falling
17805.024429499,25,falling
17805.024438370,25,falling
17805.024443018,25,rising
17805.024447610,25,rising
17805.024453518,25,falling
17805.024458888,25,falling
17805.024467647,25,falling
17805.024472314,25,falling
17805.024477684,25,falling
17805.024482518,25,falling
17805.024490888,25,falling
17805.024509536,25,falling
17805.024514166,25,falling
17805.024520499,25,falling
17805.024526277,25,falling
17805.024533073,25,falling
17805.024550240,25,falling
17805.024560647,25,falling
17805.024566240,25,falling
17805.024578221,25,falling
17805.024585092,25,falling
17805.024589758,25,falling
17805.024594369,25,falling
17805.024599203,25,rising
17805.024603907,25,falling
17805.024614555,25,falling
17805.024619221,25,rising
17805.024624055,25,rising
17805.024628703,25,rising
17805.024637184,25,rising
17805.024641832,25,falling
17805.024646462,25,falling
17805.024651592,25,falling
17805.024656332,25,falling
17805.024660962,25,falling
17805.024667481,25,falling
17805.024676018,25,falling
17805.024680666,25,falling
17805.024685314,25,rising
17805.024690184,25,rising
17805.024696758,25,rising
17805.024701406,25,rising
17805.024706666,25,falling
17805.024711277,25,falling
17805.024715999,25,falling
17805.024721110,25,falling
17805.024725740,25,falling
17805.024731129,25,falling
17805.024735740,25,falling
17805.024740369,25,falling
17805.024745147,25,falling
17805.024749795,25,falling
17805.024754425,25,falling
17805.024759462,25,rising
17805.024764092,25,rising
17805.024770962,25,falling
17805.024775629,25,falling
17805.024780536,25,falling
17805.024792129,25,falling
17805.024806406,25,falling
17805.024824647,25,falling
17805.024834147,25,falling
17805.024840962,25,rising
17805.024849536,25,falling
17805.024854166,25,falling
17805.024860740,25,rising
17805.024865388,25,falling
17805.024869962,25,falling
17805.024880203,25,falling
17805.024884851,25,rising
17805.024889443,25,falling
17805.024893592,25,falling
17805.024898277,25,falling
17805.024913110,25,falling
17805.024987555,25,falling
17805.024994684,25,falling
17805.025001332,25,falling
17805.025020629,25,falling
17805.025103814,25,falling
17805.025108610,25,falling
17805.025114629,25,falling
17805.025120092,25,falling
17805.025126610,25,rising
17805.025132166,25,falling
17805.025143443,25,falling
17805.025150277,25,falling
17805.025154980,25,falling
17805.025159573,25,falling
17805.025163425,25,falling
17805.025168851,25,falling
