17730.607137525,4,falling
17730.607216359,4,falling
17730.607256229,4,falling
17730.607323229,4,falling
17730.614984356,17,falling
17730.615004948,17,falling
17730.615060245,17,falling
17730.615070967,17,falling
17730.615080171,17,falling
17730.615092708,17,falling
17730.615100319,17,falling
17730.615105745,17,falling
17730.615113874,17,falling
17730.615122948,17,falling
17730.615127967,17,falling
17730.615135022,17,falling
17730.615145837,17,rising
17730.615150022,17,falling
17730.615156485,17,falling
17730.615161800,17,rising
17730.615166430,17,rising
17730.617671670,4,falling
17730.618013336,4,rising
17730.635180774,17,falling
17730.637582033,4,rising
17730.637586774,4,falling
17730.637593477,4,falling
17730.646478974,17,rising
17730.646524233,17,falling
17730.646529289,17,falling
17730.646537826,17,rising
17730.646542567,17,falling
17730.646547270,17,falling
17730.646552752,17,rising
17730.646551974,4,falling
17730.646557807,17,rising
17730.649604991,4,rising
17730.663815523,17,falling
17730.666184171,4,rising
17730.666190485,4,falling
17730.683170831,17,falling
17730.683175683,17,falling
17730.683181387,17,rising
17730.692558883,4,rising
17730.720639040,17,falling
17730.720655392,17,rising
17730.720666188,17,falling
17730.720673058,17,rising
17730.720677743,17,rising
17730.720682336,17,falling
17730.720687392,17,falling
17730.720692077,17,falling
17730.720697243,17,falling
17730.720737892,17,falling
17730.720749799,17,rising
17730.720764243,17,falling
17730.720779966,17,falling
17730.720788077,17,rising
17730.720797206,17,falling
17730.720805706,17,falling
17730.720815892,17,rising
17730.720820058,17,falling
17730.720827577,17,falling
17730.720832873,17,falling
17730.720840614,17,falling
17730.720844780,17,falling
17730.720853836,17,falling
17730.720860780,17,falling
17730.720895929,17,falling
17730.720904040,17,falling
17730.720934669,17,falling
17730.723303020,4,falling
17730.723306872,4,falling
17730.723312576,4,falling
17730.723318465,4,falling
17730.723528354,4,falling
17730.723910650,4,falling
17730.733449980,4,falling
17730.733450924,17,falling
17730.733459517,4,falling
17730.733459961,17,falling
17730.733482942,4,falling
17730.733483702,17,falling
17730.733601776,4,falling
17730.733602535,17,falling
17730.734150498,17,rising
17730.734642535,4,falling
17730.734665238,4,falling
17730.734678738,4,rising
17730.734684053,4,falling
17730.735349942,4,falling
17730.735356238,4,falling
17730.735364608,4,falling
17730.735368849,4,falling
17730.735373720,4,falling
17730.735380794,4,falling
17730.736587904,4,falling
17730.736603941,4,falling
17730.736620497,4,falling
17730.736652349,4,falling
17730.736657589,4,falling
17730.736672775,4,falling
17730.736677034,4,falling
17730.736684497,4,falling
17730.736695145,4,falling
17730.736699386,4,rising
17730.741679736,17,rising
17730.741685125,17,falling
17730.741689810,17,falling
17730.741694440,17,falling
17730.741701310,17,falling
17730.741706032,17,falling
17730.741710699,17,falling
17730.741715421,17,falling
17730.741720106,17,falling
17730.741725365,17,falling
17730.741886514,17,falling
17730.742042847,17,falling
17730.742639698,17,falling
17730.742638921,4,falling
17730.742644624,4,falling
17730.742648847,4,falling
17730.742652680,4,falling
